case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
11,DG_k3_t0,16,16,16,9628.225,436,16,1,29,5552.041168717306,6962.2246067693795,3475.0411687173055,3487.183438052076,2180.0,406.0,80.0,0,0,C,218,104,C,4,0.4293257000099402
11,DG_k3_t1,16,16,16,9628.225,436,16,1,29,5552.041168717306,6962.2246067693795,3475.0411687173055,3487.183438052076,2180.0,406.0,80.0,0,0,C,218,104,C,4,0.48442329998943023
11,DG_k5_t2,16,16,16,9628.225,436,16,1,29,5552.041168717306,6962.2246067693795,3475.0411687173055,3487.183438052076,2180.0,406.0,80.0,0,0,C,218,104,C,6,0.5662430000083987
12,Cplus3F,16,16,16,8666.827,471,16,1,27,5525.951144077817,5767.827465125048,3434.951144077819,2332.876321047226,2355.0,464.0,80.0,0,0,B,0,0,,,0.41252450001775287
12,C3FDirect,16,16,16,8161.316,367,16,1,29,4241.507751713908,5905.315821932383,2606.507751713909,3298.808070218474,1835.0,341.0,80.0,0,0,C,265,88,,,0.39219370001228526
12,DG_k1_t0,16,16,16,8928.823,491,16,1,27,5787.946328058255,5909.822649105484,3576.9463280582568,2332.876321047226,2455.0,484.0,80.0,0,0,B,0,0,B,0,0.3819426999834832
12,DG_k2_t0,16,16,16,8161.316,367,16,1,29,4241.507751713908,5905.315821932383,2606.507751713909,3298.808070218474,1835.0,341.0,80.0,0,0,C,265,88,C,2,0.4763937999960035
12,DG_k3_t0,16,16,16,8161.316,367,16,1,29,4241.507751713908,5905.315821932383,2606.507751713909,3298.808070218474,1835.0,341.0,80.0,0,0,C,265,88,C,3,0.4740526000095997
12,DG_k3_t1,16,16,16,8161.316,367,16,1,29,4241.507751713908,5905.315821932383,2606.507751713909,3298.808070218474,1835.0,341.0,80.0,0,0,C,265,88,C,3,0.4460576999990735
12,DG_k5_t2,16,16,16,8161.316,367,16,1,29,4241.507751713908,5905.315821932383,2606.507751713909,3298.808070218474,1835.0,341.0,80.0,0,0,C,265,88,C,8,0.4456689000071492
13,Cplus3F,16,16,16,7876.211,345,16,1,27,5470.3780248073035,5739.211480347706,3638.3780248073044,2100.8334555404026,1725.0,332.0,80.0,0,0,B,0,0,,,0.590148000017507
13,C3FDirect,16,16,16,7799.89,335,16,1,29,5275.866795100926,5722.890115368898,3399.8667951009256,2323.0233202679706,1675.0,322.0,80.0,0,0,C,151,89,,,0.19229969999287277
13,DG_k1_t0,16,16,16,7799.89,335,16,1,29,5275.866795100926,5722.890115368898,3399.8667951009256,2323.0233202679706,1675.0,322.0,80.0,0,0,C,151,89,C,1,0.1947095000068657
13,DG_k2_t0,16,16,16,7799.89,335,16,1,29,5275.866795100926,5722.890115368898,3399.8667951009256,2323.0233202679706,1675.0,322.0,80.0,0,0,C,151,89,C,4,0.21345549999387003
13,DG_k3_t0,16,16,16,7799.89,335,16,1,29,5275.866795100926,5722.890115368898,3399.8667951009256,2323.0233202679706,1675.0,322.0,80.0,0,0,C,151,89,C,8,0.2001866000064183
13,DG_k3_t1,16,16,16,7799.89,335,16,1,29,5275.866795100926,5722.890115368898,3399.8667951009256,2323.0233202679706,1675.0,322.0,80.0,0,0,C,151,89,C,8,0.14733989999513142
13,DG_k5_t2,16,16,16,7799.89,335,16,1,29,5275.866795100926,5722.890115368898,3399.8667951009256,2323.0233202679706,1675.0,322.0,80.0,0,0,C,151,89,C,10,0.21572619999642484
14,Cplus3F,16,16,16,7720.487,313,16,1,27,4695.878851150919,5783.486869780968,3031.8788511509197,2751.6080186300505,1565.0,292.0,80.0,0,0,B,0,0,,,0.7987696999916807
14,C3FDirect,16,16,16,7828.298,377,16,1,29,5905.193265098265,5497.298398272208,3717.1932650982653,1780.1051331739445,1885.0,366.0,80.0,0,0,C,164,72,,,0.21887009998317808
14,DG_k1_t0,16,16,16,7828.298,377,16,1,29,5905.193265098265,5497.298398272208,3717.1932650982653,1780.1051331739445,1885.0,366.0,80.0,0,0,C,164,72,C,1,0.3979094999958761
14,DG_k2_t0,16,16,16,7828.298,377,16,1,29,5905.193265098265,5497.298398272208,3717.1932650982653,1780.1051331739445,1885.0,366.0,80.0,0,0,C,164,72,C,3,0.3027237000060268
14,DG_k3_t0,16,16,16,7828.298,377,16,1,29,5905.193265098265,5497.298398272208,3717.1932650982653,1780.1051331739445,1885.0,366.0,80.0,0,0,C,164,72,C,4,0.26916009999695234
14,DG_k3_t1,16,16,16,7828.298,377,16,1,29,5905.193265098265,5497.298398272208,3717.1932650982653,1780.1051331739445,1885.0,366.0,80.0,0,0,C,164,72,C,4,0.44251839999924414
14,DG_k5_t2,16,16,16,7828.298,377,16,1,29,5905.193265098265,5497.298398272208,3717.1932650982653,1780.1051331739445,1885.0,366.0,80.0,0,0,C,164,72,C,8,0.3994669000094291
15,Cplus3F,16,16,16,11110.721,582,16,1,27,6509.717584548527,7548.721011191061,3963.717584548529,3585.0034266425296,2910.0,572.0,80.0,0,0,B,0,0,,,1.1812264999898616
15,C3FDirect,16,16,16,7048.33,332,16,1,29,4144.714903781788,4995.330181138639,2590.7149037817885,2404.615277356851,1660.0,313.0,80.0,0,0,C,281,91,,,0.6385033999977168
15,DG_k1_t0,16,16,16,7048.33,332,16,1,29,4144.714903781788,4995.330181138639,2590.7149037817885,2404.615277356851,1660.0,313.0,80.0,0,0,C,281,91,C,1,0.6320754000043962
15,DG_k2_t0,16,16,16,7048.33,332,16,1,29,4144.714903781788,4995.330181138639,2590.7149037817885,2404.615277356851,1660.0,313.0,80.0,0,0,C,281,91,C,2,0.7589354999945499
15,DG_k3_t0,16,16,16,7048.33,332,16,1,29,4144.714903781788,4995.330181138639,2590.7149037817885,2404.615277356851,1660.0,313.0,80.0,0,0,C,281,91,C,3,0.7239121000166051
15,DG_k3_t1,16,16,16,7048.33,332,16,1,29,4144.714903781788,4995.330181138639,2590.7149037817885,2404.615277356851,1660.0,313.0,80.0,0,0,C,281,91,C,3,0.8035713999997824
15,DG_k5_t2,16,16,16,7048.33,332,16,1,29,4144.714903781788,4995.330181138639,2590.7149037817885,2404.615277356851,1660.0,313.0,80.0,0,0,C,281,91,C,8,0.8087829999858513
16,Cplus3F,16,16,16,9520.098,484,16,1,27,5949.198469962373,6555.098404316982,3703.198469962373,2851.8999343546125,2420.0,465.0,80.0,0,0,B,0,0,,,1.413588700001128
