case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
281,13,13,13,4903.296,133,15
282,15,15,15,4352.151,124,18
283,15,15,15,4615.534,131,17
284,13,13,13,3535.902,121,18
285,13,13,13,4127.834,133,13
286,16,16,16,4567.169,127,17
287,16,16,16,4554.034,137,25
288,11,11,11,4192.599,130,11
289,10,10,10,4397.826,130,15
290,13,13,13,4142.623,126,13
291,13,13,13,4453.364,133,16
292,12,12,12,5058.21,140,17
293,11,11,11,4798.04,126,20
294,14,14,14,5083.832,126,14
295,11,11,11,4429.754,136,16
296,14,14,14,4160.455,127,17
297,14,14,14,4588.01,122,21
298,13,13,13,4580.037,123,13
299,11,11,11,3757.485,121,13
300,10,10,10,3984.989,133,10
