scenario,model,seed,cases,all_cleared_rate,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,anomalies,hard_fail_cases,mean_per_source,median_per_source,p90_per_source,p95_per_source,max_per_source,mean_total_per_source,mean_movement_per_source,mean_detect_switch_per_source,mean_clear_time_per_source,mean_last_discovery_per_source,mean_search_end_per_source,mean_search_movement_per_source,mean_not_ready_rate,mean_active_measurements_per_source,mean_co_measurements_per_source,mean_switches_per_source,mean_insertions_per_source,mean_decision_wall_s,mean_decomposition_error_s,mean_ci_low,mean_ci_high,bootstrap_mean
S4_clustered,J,104729,200,1,0,0,0,0,0,0,0,0,213.00915214687396,213.2256891025641,270.8670909090909,284.41018181818185,330.0464,213.00915214687396,153.17160276940982,54.83755296786547,5.0,88.00673343517089,150.91329636058686,99.37334233544532,0.41781943056943055,2.5649723401598403,1.7925387737262737,8.96811833999334,0.5075705960705961,1.1563364695002383,0.00025145397329538353,,,
S4_clustered,J,130363,200,1,0,0,0,0,0,0,0,0,218.9239078917749,209.7938896103896,287.77445454545455,310.0485,345.66027272727274,218.9239078917749,157.79724608832086,56.1266645021645,5.0,90.86752876586137,152.36198381820745,99.99481939929302,0.4400590867465867,2.6055313644688645,1.837763444888445,9.18005559024309,0.5136086621711622,1.1771065644994088,0.0002620988357131182,,,
S4_clustered,J,155921,200,1,0,0,0,0,0,0,0,0,218.13397649392275,213.00573214285714,274.2133636363637,282.5783,334.16790000000003,218.13397649392275,157.24254309872026,55.89143158924409,5.0,88.65141077443248,153.70819097774563,101.28915769852485,0.4321595904095904,2.5377751207126207,1.7728710248085249,9.142652035464536,0.5217363261738261,1.1365204344993982,0.00023621623888971045,,,
S4_clustered,J+,pooled,600,1,0,0,0,0,0,0,0,0,209.88013241426628,205.7803846153846,268.0932307692308,280.9018,336.70836363636363,209.88013241426628,152.36502141740615,52.51511123598624,5.0,82.92355165244896,141.71431821468448,94.23464661545037,0.4996187076812077,2.035010767010767,1.8074168678543678,8.5951718004218,0.0,0.12068313316674903,0.00025228629090671956,206.4072051227701,213.39967595986684,209.9210886210492
S4_clustered,J+,104729,200,1,0,0,0,0,0,0,0,0,206.61955501752414,203.97835576923077,258.7425,276.1765454545455,298.8331,206.61955501752414,150.0681648272086,51.551390567765566,5.0,80.60096212118694,138.95730534106386,92.38730113693462,0.4943507742257742,2.0236482475857476,1.7837305402930403,8.434025536963038,0.0,0.12220633600038128,0.0002453260580676897,,,
S4_clustered,J+,130363,200,1,0,0,0,0,0,0,0,0,212.6235253681735,205.5622238095238,277.27163636363633,288.8234545454545,336.70836363636363,212.6235253681735,154.79487018116552,52.82865561521812,5.0,85.52196990144336,142.78990174774134,94.97653128487086,0.49008289627039625,2.0353617216117215,1.8023763736263736,8.648622523310022,0.0,0.12162686000054236,0.0002601708533092051,,,
S4_clustered,J+,155921,200,1,0,0,0,0,0,0,0,0,210.39731685710123,206.98175274725276,258.7129,271.3523,300.9727,210.39731685710123,152.23202924384435,53.16528752497503,5.0,82.64772293471661,143.3957475552483,95.34010742454565,0.5144224525474526,2.046022331834832,1.8361436896436896,8.702867340992341,0.0,0.11821620349932345,0.0002513619613432638,,,
S5_max_load,I,pooled,600,1,0,0,0,0,0,0,0,0,250.1783696875,252.67168750000002,276.005,284.324625,303.1193125,250.1783696875,206.07420317632713,39.104166666666664,5.0,112.11834028833333,115.10790677014693,81.3383234368136,0.5639583333333333,2.555833333333333,1.6282291666666666,6.207291666666666,0.47322916666666665,1.1064550918334377,0.0002536741817327008,248.42969563541666,251.9013681380208,250.16653863373958
S5_max_load,I,104729,200,1,0,0,0,0,0,0,0,0,249.8158765625,251.4929375,276.15975,282.55975,295.4146875,249.8158765625,205.67806307812324,39.1378125,5.0,111.8898389884375,114.69522422380707,80.91397422380707,0.57,2.57875,1.6434375,6.205,0.4753125,1.0946815170007176,0.0002623847476706942,,,
S5_max_load,I,130363,200,1,0,0,0,0,0,0,0,0,249.732745,252.199125,274.5276875,282.599375,303.1193125,249.732745,205.51962139667026,39.213125,5.0,112.0435122778125,115.15050401419806,81.33581651419807,0.563125,2.5459375,1.615,6.22875,0.4746875,1.1002599899994676,0.0002544941321184524,,,
S5_max_load,I,155921,200,1,0,0,0,0,0,0,0,0,250.9864875,253.176,277.1290625,284.324625,294.853875,250.9864875,207.02492505418792,38.9615625,5.0,112.42166959875,115.47799207243564,81.76517957243564,0.55875,2.5428125,1.62625,6.188125,0.4696875,1.1244237685001282,0.0002441436654089557,,,
S5_max_load,J,pooled,600,1,0,0,0,0,0,0,0,0,244.67077114583333,246.15234375,271.052625,277.9765625,297.25175,244.67077114583333,198.119312511338,41.551458333333336,5.0,105.59381942885416,111.03150460783802,74.47546294117134,0.5270833333333333,2.6779166666666665,1.7289583333333334,6.616041666666667,0.47760416666666666,1.313770539333879,0.0002473022265212421,243.00461607031255,246.28356399479165,244.66765456922917
S5_max_load,J,104729,200,1,0,0,0,0,0,0,0,0,245.21351218750002,246.95746875,271.07875,279.694125,297.25175,245.21351218750002,198.87132434303717,41.3421875,5.0,105.7028842428125,111.41006158860455,74.97974908860455,0.5175,2.679375,1.7225,6.5828125,0.4759375,1.333101971999422,0.00024296091133010122,,,
