case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
131,C3FDirect,16,16,16,8367.387,368,16,1,29,5109.026956787599,6114.387260802306,3199.0269567875985,2915.360304014705,1840.0,333.0,80.0,0,0,C,276,66,,,0.5613800999999512
131,B,16,16,16,9074.648,458,16,1,27,6341.664114369209,6257.6481119162845,3963.664114369212,2293.9839975470745,2290.0,447.0,80.0,0,,,,,,,0.5233442000171635
131,C,16,16,16,9796.49,534,16,1,29,5520.243330280245,6521.489560188746,3130.2433302802424,3391.2462299085028,2670.0,525.0,80.0,0,,,,,,,0.6221025999984704
132,Cplus3F,16,16,16,8336.758,390,16,1,27,5971.509818982051,5933.757604397843,3823.5098189820524,2110.24778541579,1950.0,373.0,80.0,0,0,B,0,0,,,0.39042819998576306
132,DG_k1_t0,16,16,16,7103.417,363,16,1,29,5453.981754392141,4852.4165777742855,3355.9817543921417,1496.4348233821443,1815.0,356.0,80.0,0,0,C,153,75,C,2,0.13652639999054372
132,DG_k3_t0,16,16,16,7103.417,363,16,1,29,5453.981754392141,4852.4165777742855,3355.9817543921417,1496.4348233821443,1815.0,356.0,80.0,0,0,C,153,75,C,4,0.22518049998325296
132,C3FDirect,16,16,16,7103.417,363,16,1,29,5453.981754392141,4852.4165777742855,3355.9817543921417,1496.4348233821443,1815.0,356.0,80.0,0,0,C,153,75,,,0.19644299999345094
132,B,16,16,16,8336.758,390,16,1,27,5971.509818982051,5933.757604397843,3823.5098189820524,2110.24778541579,1950.0,373.0,80.0,0,,,,,,,0.38492130002123304
132,C,16,16,16,8541.952,478,16,1,29,5826.55705825532,5606.952063748772,3291.557058255319,2315.395005493457,2390.0,465.0,80.0,0,,,,,,,0.502897500002291
133,Cplus3F,16,16,16,7921.795,355,16,1,27,5745.957981868316,5717.795434858876,3788.9579818683183,1928.83745299056,1775.0,349.0,80.0,0,0,B,0,0,,,0.1666892000066582
133,DG_k1_t0,16,16,16,8160.073,384,16,1,29,5867.920848416283,5786.072968599854,3722.920848416286,2063.152120183571,1920.0,374.0,80.0,0,0,C,150,75,C,1,0.13280399999348447
133,DG_k3_t0,16,16,16,8160.073,384,16,1,29,5867.920848416283,5786.072968599854,3722.920848416286,2063.152120183571,1920.0,374.0,80.0,0,0,C,150,75,C,4,0.22196090000215918
133,C3FDirect,16,16,16,8160.073,384,16,1,29,5867.920848416283,5786.072968599854,3722.920848416286,2063.152120183571,1920.0,374.0,80.0,0,0,C,150,75,,,0.19816830000490882
133,B,16,16,16,7921.795,355,16,1,27,5745.957981868316,5717.795434858876,3788.9579818683183,1928.83745299056,1775.0,349.0,80.0,0,,,,,,,0.1335873000207357
133,C,16,16,16,9142.368,465,16,1,29,6169.5913179648815,6303.368224711184,3633.5913179648796,2669.7769067463064,2325.0,434.0,80.0,0,,,,,,,0.8299105000041891
134,Cplus3F,16,16,16,8700.6,446,16,1,27,6203.83225201111,5950.60037599756,3870.832252011111,2079.768123986449,2230.0,440.0,80.0,0,0,B,0,0,,,0.20328840002184734
