case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,wall_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions
60,rand1800,12,12,12,8799.031,384,12,1,25,5900.644274496777,0.34210159999202006,6455.031494746659,3765.644274496778,2689.387220249883,1920.0,364.0,60.0,0
61,rand1800,12,12,12,9801.557,419,12,1,25,5900.644274496777,0.5253361999930348,7256.55692919489,3765.644274496778,3490.9126546981156,2095.0,390.0,60.0,0
62,rand1800,12,12,12,7627.763,333,12,1,25,5654.644274496778,0.29224510001949966,5577.7630565746285,3765.644274496778,1812.1187820778512,1665.0,325.0,60.0,0
63,rand1800,12,12,12,8057.168,335,12,1,25,5630.644274496778,0.42928690000553615,6002.168102690097,3765.644274496778,2236.5238281933225,1675.0,320.0,60.0,0
64,rand1800,12,12,12,7941.811,354,12,1,25,5821.483152921812,0.2535224000166636,5763.811201563861,3777.4831529218127,1986.3280486420501,1770.0,348.0,60.0,0
65,rand1800,12,12,12,8270.184,373,12,1,25,5786.644274496777,0.17413040000246838,5993.184143225052,3765.644274496778,2227.5398687282736,1865.0,352.0,60.0,0
66,rand1800,12,12,12,8473.378,353,12,1,25,5708.644274496777,0.2798127999994904,6317.37845541078,3765.644274496778,2551.7341809140057,1765.0,331.0,60.0,0
67,rand1800,12,12,12,8857.353,341,12,1,25,5618.644274496778,0.36126899998635054,6772.3525426578135,3765.644274496778,3006.7082681610373,1705.0,320.0,60.0,0
68,rand1800,12,12,12,7872.075,336,12,1,25,5666.644274496778,0.30026839999482036,5805.0752726963765,3765.644274496778,2039.4309981995987,1680.0,327.0,60.0,0
69,rand1800,12,12,12,7834.159,353,12,1,25,5750.644274496778,0.3119670999876689,5668.158628759355,3765.644274496778,1902.514354262577,1765.0,341.0,60.0,0
70,rand1800,12,12,12,8309.618,363,12,1,25,5786.644274496777,0.4604358000215143,6087.618337732774,3765.644274496778,2321.974063236,1815.0,347.0,60.0,0
71,rand1800,12,12,12,7931.578,318,12,1,25,5576.644274496778,0.2499097999825608,5969.5783398275125,3765.644274496778,2203.934065330736,1590.0,312.0,60.0,0
72,rand1800,12,12,12,8900.317,362,12,1,25,5708.644274496778,0.5529070000047795,6692.316840708614,3765.644274496778,2926.6725662118392,1810.0,338.0,60.0,0
73,rand1800,12,12,12,8035.229,342,12,1,25,5708.644274496778,0.22706449998077005,5931.228751129832,3765.644274496778,2165.584476633051,1710.0,334.0,60.0,0
74,rand1800,12,12,12,8667.367,358,12,1,25,5756.644274496778,0.27398379999795,6473.367076734261,3765.644274496778,2707.722802237482,1790.0,344.0,60.0,0
75,rand1800,12,12,12,8558.908,365,12,1,25,5828.644274496777,0.3221094000036828,6316.908264556103,3765.644274496778,2551.263990059325,1825.0,357.0,60.0,0
76,rand1800,12,12,12,7841.612,376,12,1,25,5806.944976852789,0.5619411000225227,5553.612496168801,3768.94497685279,1784.6675193160129,1880.0,348.0,60.0,0
77,rand1800,12,12,12,8140.595,344,12,1,25,5657.748563052887,0.49267250002594665,6038.594739648384,3769.748563052887,2268.846176595499,1720.0,322.0,60.0,0
78,rand1800,12,12,12,8109.081,346,12,1,25,5690.644274496778,0.42482919999747537,5988.081360009046,3765.644274496778,2222.437085512268,1730.0,331.0,60.0,0
79,rand1800,12,12,12,7899.185,345,12,1,25,5696.644274496778,0.4527587999764364,5783.184594881064,3765.644274496778,2017.5403203842895,1725.0,331.0,60.0,0
80,rand1800,12,12,12,7881.735,334,12,1,25,5606.644274496778,0.37679449998540804,5835.734754357134,3765.644274496778,2070.090479860358,1670.0,316.0,60.0,0
81,rand1800,12,12,12,8240.964,359,12,1,25,5759.388302478108,0.43693669998901896,6051.964007581396,3811.3883024781085,2240.5757051032897,1795.0,334.0,60.0,0
82,rand1800,12,12,12,7888.087,354,12,1,25,5797.415648081669,0.3078148999775294,5720.087246024164,3796.41564808167,1923.6715979424948,1770.0,338.0,60.0,0
83,rand1800,12,12,12,7831.168,331,12,1,25,5658.701699738066,0.2932167999970261,5794.167574349482,3770.7016997380665,2023.465874611415,1655.0,322.0,60.0,0
84,rand1800,12,12,12,7877.501,329,12,1,25,5658.556657134273,0.2707417999918107,5851.500934837608,3782.556657134274,2068.944277703335,1645.0,321.0,60.0,0
85,rand1800,12,12,12,7780.77,338,12,1,25,5771.275271990274,0.22310730000026524,5695.769561868429,3805.275271990274,1890.4942898781555,1690.0,335.0,60.0,0
86,rand1800,12,12,12,7896.989,306,12,1,25,5516.644274496778,0.2526926999853458,6006.989297474093,3765.644274496778,2241.3450229773166,1530.0,300.0,60.0,0
87,rand1800,12,12,12,8259.508,314,12,1,25,5582.39802725762,0.19858170000952668,6323.507840919711,3796.39802725762,2527.1098136620894,1570.0,306.0,60.0,0
88,rand1800,12,12,12,8677.988,398,12,1,25,5789.7305760731915,0.37125089997425675,6239.987622326803,3769.730576073192,2470.257046253611,1990.0,388.0,60.0,0
89,rand1800,12,12,12,7461.257,313,12,1,25,5605.684210333672,0.14329300000099465,5535.257409207057,3816.684210333672,1718.5731988733876,1565.0,301.0,60.0,0
90,rand1800,12,12,12,7198.341,344,12,1,25,5714.644274496778,0.31098070001462474,5084.34073444472,3765.644274496778,1318.6964599479427,1720.0,334.0,60.0,0
91,rand1800,12,12,12,8465.097,353,12,1,25,5786.250519977607,0.3819349000114016,6298.097140678505,3802.250519977608,2495.846620700899,1765.0,342.0,60.0,0
92,rand1800,12,12,12,7260.712,307,12,1,25,5516.644274496778,0.2569962000125088,5363.711920133502,3765.644274496778,1598.0676456367248,1535.0,302.0,60.0,0
93,rand1800,12,12,12,7782.559,316,12,1,25,5510.644274496778,0.424678400013363,5841.559178208089,3765.644274496778,2075.9149037113143,1580.0,301.0,60.0,0
