case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
85,B,15,15,1,8901.177,6182.41817781066,399,348,51,319,39,12,15,14,0,28,43,32315.885384507845,11863.79449545453,0.4483384999912232
85,C,15,15,1,9063.59,6041.738956807771,459,397,62,369,49,13,15,12,0,32,51,31307.951494546058,13079.256710507203,0.8584874999942258
86,B,13,13,1,8632.19,6091.573317670698,346,329,17,303,7,10,13,11,0,29,28,32500.948697691212,11958.082109337724,0.4521557000116445
86,C,13,13,1,9518.018,5932.5264323263955,482,384,98,360,85,13,13,13,0,29,46,32820.08961185044,14672.457450218473,0.5197844000067562
87,B,15,15,1,8526.528,6420.963268073689,391,368,23,338,13,9,15,9,0,33,31,30607.638881227864,9687.822540859419,0.45955990001675673
87,C,15,15,1,9090.8,5884.1221350490205,416,375,41,346,26,15,15,14,0,30,43,32718.99913602403,14568.388460778953,0.6270040000090376
88,B,12,12,1,8457.895,6205.461838753449,363,346,17,322,5,12,12,11,0,28,28,31139.472993191317,10512.163799424072,0.45644629999878816
88,C,12,12,1,10582.084,6034.5264323263955,548,401,147,381,136,11,12,12,0,29,76,36245.41988163091,18097.78771999892,0.8195142000040505
89,B,13,13,1,8390.148,6190.696056996824,360,341,19,315,8,11,13,11,0,29,30,30880.74184047891,10202.26155549479,0.4813078999868594
89,C,13,13,1,8777.768,5818.912559673906,424,364,60,339,48,12,13,12,0,30,48,31018.83902997018,12864.276231600656,0.7303991999942809
90,B,14,14,1,9669.012,6442.67482850587,432,380,52,353,42,10,14,11,0,30,44,35160.057983571714,14416.68384104236,0.37145029997918755
90,C,14,14,1,9024.352,5775.145644082003,418,352,66,325,52,14,14,13,0,30,53,32336.75907071435,14041.03085030436,0.6097276999789756
91,B,12,12,1,9056.275,6185.683344519611,366,347,19,323,7,12,12,11,0,28,30,34061.37400594427,13562.957283346223,0.3356263999885414
91,C,12,12,1,9116.425,5896.5264323263955,416,378,38,355,24,14,12,12,0,29,38,32907.123433230576,14759.491271598601,0.4488193000142928
92,B,10,10,1,9469.793,6397.7946028004235,451,383,68,364,60,8,10,8,0,29,47,33693.9627104412,13239.98969643909,0.6914539000135846
92,C,10,10,1,11351.895,6413.803436563092,621,463,158,447,148,10,10,9,0,30,59,37939.47311134929,19780.45592853381,0.5814204000052996
93,B,16,16,1,8976.892,5743.712542924213,358,331,27,300,8,19,16,15,0,26,40,33814.46249148474,15045.899776863675,0.5792097999947146
93,C,16,16,1,8478.574,5628.931058786377,386,360,26,329,9,17,16,15,0,29,40,30472.869906336848,13148.214612404969,0.560591999994358
94,B,10,10,1,8914.962,6810.367485644682,472,449,23,429,13,10,10,8,0,29,31,30249.812293944728,9712.974865721304,0.42831160000059754
94,C,10,10,1,9125.287,6244.526432326396,482,436,46,417,34,12,10,10,0,29,34,31006.437399162103,12858.805237530121,0.31285799999022856
95,B,16,16,1,9857.739,5832.944821041597,412,348,64,318,42,22,16,16,0,25,58,36593.69735838241,17863.973253174434,0.9531637000036426
95,C,16,16,1,7726.393,5088.854284582213,339,312,27,281,10,17,16,15,0,26,42,28126.965803178395,12062.694380267347,0.8215889999992214
