case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
20,C,13,13,13,9072.783,419,13,1,29,5865.27850056495,6532.783496882809,3641.2785005649484,2891.504996317865,2095.0,380.0,65.0,0,,,,,0.7542337000195403
21,Cplus3F,16,16,16,6434.076,250,16,1,29,3195.144286600935,4858.0760329929235,2076.144286600935,2781.9317463919865,1250.0,246.0,80.0,0,3,C,137,91,0.43018240001401864
21,C3FDirect,16,16,16,6434.076,250,16,1,29,3195.144286600935,4858.0760329929235,2076.144286600935,2781.9317463919865,1250.0,246.0,80.0,0,3,C,137,91,0.4386471000034362
21,B,16,16,16,10361.568,330,16,1,27,5382.944821041598,8339.56775746199,3745.9448210415985,4593.622936420393,1650.0,292.0,80.0,0,,,,,0.8513315999880433
21,C,16,16,16,8345.636,339,16,1,29,3283.5891755103576,6266.635781717237,2072.589175510358,4194.046606206886,1695.0,304.0,80.0,0,,,,,0.7743884999945294
22,Cplus3F,13,13,13,7194.581,313,13,1,29,5530.998351015508,5257.580760674532,3698.9983510155084,1558.5824096590252,1565.0,307.0,65.0,0,5,C,50,47,0.21985580000909977
22,C3FDirect,13,13,13,7194.581,313,13,1,29,5530.998351015508,5257.580760674532,3698.9983510155084,1558.5824096590252,1565.0,307.0,65.0,0,5,C,50,47,0.14539439999498427
22,B,13,13,13,8576.105,373,13,1,27,6235.6265334279315,6285.104611402184,4131.626533427933,2153.4780779742528,1865.0,361.0,65.0,0,,,,,0.4502779000031296
22,C,13,13,13,8113.443,292,13,1,29,5284.5264323263955,6302.442647289692,3629.5264323263946,2672.916214963298,1460.0,286.0,65.0,0,,,,,0.30933139999979176
23,Cplus3F,10,10,10,7809.689,409,10,1,29,6080.4708906496,5308.688892487873,3641.470890649599,1667.2180018382735,2045.0,406.0,50.0,0,4,C,27,53,0.14186809997772798
23,C3FDirect,10,10,10,7809.689,409,10,1,29,6080.4708906496,5308.688892487873,3641.470890649599,1667.2180018382735,2045.0,406.0,50.0,0,4,C,27,53,0.09673209997708909
23,B,10,10,10,8392.294,397,10,1,27,6288.8719793931805,5981.293759408855,4081.871979393182,1899.4217800156769,1985.0,376.0,50.0,0,,,,,0.5386264999979176
23,C,10,10,10,8539.784,431,10,1,29,6136.526432326396,5909.7836849343885,3629.5264323263946,2280.2572526079925,2155.0,425.0,50.0,0,,,,,0.29850820000865497
24,Cplus3F,12,12,12,7587.221,350,12,1,29,5756.865442624907,5428.221375639231,3677.865442624906,1750.3559330143246,1750.0,349.0,60.0,0,5,C,22,41,0.14853259999654256
24,C3FDirect,12,12,12,7587.221,350,12,1,29,5756.865442624907,5428.221375639231,3677.865442624906,1750.3559330143246,1750.0,349.0,60.0,0,5,C,22,41,0.16760709998197854
24,B,12,12,12,8979.691,377,12,1,27,6198.8719793931805,6672.690522378904,4081.871979393182,2590.8185429857217,1885.0,362.0,60.0,0,,,,,0.44000669999513775
24,C,12,12,12,8397.52,361,12,1,29,5681.683668427105,6187.520190716131,3655.683668427104,2531.8365222890266,1805.0,345.0,60.0,0,,,,,0.44970789999933913
25,Cplus3F,11,11,11,7542.434,368,11,1,29,5821.02766440709,5287.4344359607985,3670.027664407089,1617.4067715537071,1840.0,360.0,55.0,0,2,C,74,54,0.20027630002005026
25,C3FDirect,11,11,11,7542.434,368,11,1,29,5821.02766440709,5287.4344359607985,3670.027664407089,1617.4067715537071,1840.0,360.0,55.0,0,2,C,74,54,0.1968304000038188
25,B,11,11,11,8935.706,437,11,1,27,6529.6241989357895,6278.706489614386,4089.624198935791,2189.0822906785966,2185.0,417.0,55.0,0,,,,,0.38738840000587516
25,C,11,11,11,8364.912,358,11,1,29,5608.5264323263955,6181.911667210461,3629.5264323263946,2552.385234884065,1790.0,338.0,55.0,0,,,,,0.47883490001549944
26,Cplus3F,16,16,16,6519.315,247,16,1,29,3350.4521802219606,4969.315003096807,2217.4521802219606,2751.8628228748453,1235.0,235.0,80.0,0,7,C,92,82,0.35513940002419986
26,C3FDirect,16,16,16,6519.315,247,16,1,29,3350.4521802219606,4969.315003096807,2217.4521802219606,2751.8628228748453,1235.0,235.0,80.0,0,7,C,92,82,0.3990650000050664
26,B,16,16,16,8597.917,277,16,1,27,4932.217187173481,6890.916624174408,3571.2171871734818,3319.6994370009293,1385.0,242.0,80.0,0,,,,,0.6637559999944642
26,C,16,16,16,7426.225,310,16,1,29,3422.4521802219606,5503.2246124727635,2217.4521802219606,3285.7724322508043,1550.0,293.0,80.0,0,,,,,0.5225685999903362
27,Cplus3F,10,10,10,7354.302,365,10,1,29,5784.922786088357,5116.301690544154,3632.9227860883557,1483.3789044557982,1825.0,363.0,50.0,0,4,C,63,40,0.14185049998923205
27,C3FDirect,10,10,10,7354.302,365,10,1,29,5784.922786088357,5116.301690544154,3632.9227860883557,1483.3789044557982,1825.0,363.0,50.0,0,4,C,63,40,0.10276050001266412
27,B,10,10,10,8397.779,387,10,1,27,6276.8719793931805,6039.778609026237,4081.871979393182,1957.9066296330584,1935.0,373.0,50.0,0,,,,,0.34266769999521784
27,C,10,10,10,7618.551,348,10,1,29,5626.5264323263955,5487.551249290447,3629.5264323263946,1858.0248169640531,1740.0,341.0,50.0,0,,,,,0.19579590001376346
28,Cplus3F,10,10,10,7269.458,367,10,1,29,5923.490852601789,5019.458148828692,3731.490852601788,1287.9672962269049,1835.0,365.0,50.0,0,5,C,42,38,0.08169270001235418
28,C3FDirect,10,10,10,7269.458,367,10,1,29,5923.490852601789,5019.458148828692,3731.490852601788,1287.9672962269049,1835.0,365.0,50.0,0,5,C,42,38,0.07813790001091547
28,B,10,10,10,8171.39,355,10,1,27,6144.8719793931805,5997.390412591107,4081.871979393182,1915.518433197926,1775.0,349.0,50.0,0,,,,,0.12654189998283982
28,C,10,10,10,7527.818,386,10,1,29,5907.093844150076,5166.81774461641,3659.0938441500757,1507.7239004663352,1930.0,381.0,50.0,0,,,,,0.23895870000706054
29,Cplus3F,12,12,12,7163.74,341,12,1,29,5627.867098047138,5062.739908707927,3632.8670980471375,1429.8728106607878,1705.0,336.0,60.0,0,6,C,36,42,0.19935499998973683
29,C3FDirect,12,12,12,7163.74,341,12,1,29,5627.867098047138,5062.739908707927,3632.8670980471375,1429.8728106607878,1705.0,336.0,60.0,0,6,C,36,42,0.15557129998342134
29,B,12,12,12,7897.599,308,12,1,27,5808.871979393181,5999.598856345469,4081.871979393182,1917.7268769522898,1540.0,298.0,60.0,0,,,,,0.31679650000296533
29,C,12,12,12,8241.176,336,12,1,29,5476.5264323263955,6182.176379835658,3629.5264323263946,2552.649947509262,1680.0,319.0,60.0,0,,,,,0.4574500999879092
30,Cplus3F,11,11,11,7299.369,367,11,1,29,5832.809917248077,5046.368722379874,3651.809917248076,1394.5588051317977,1835.0,363.0,55.0,0,5,C,32,34,0.1676918999874033
30,C3FDirect,11,11,11,7299.369,367,11,1,29,5832.809917248077,5046.368722379874,3651.809917248076,1394.5588051317977,1835.0,363.0,55.0,0,5,C,32,34,0.16114630000083707
30,B,11,11,11,7944.099,349,11,1,27,6068.199829072326,5812.098501204873,4102.199829072327,1709.898672132547,1745.0,332.0,55.0,0,,,,,0.38615790000767447
30,C,11,11,11,7689.224,368,11,1,29,5754.3330650271355,5438.223629790723,3650.3330650271355,1787.8905647635877,1840.0,356.0,55.0,0,,,,,0.23285020000184886
31,Cplus3F,13,13,13,7121.358,301,13,1,29,5435.183876935085,5256.358152254472,3680.1838769350848,1576.174275319386,1505.0,295.0,65.0,0,6,C,37,41,0.13547809998271987
31,C3FDirect,13,13,13,7121.358,301,13,1,29,5435.183876935085,5256.358152254472,3680.1838769350848,1576.174275319386,1505.0,295.0,65.0,0,6,C,37,41,0.17068429998471402
31,B,13,13,13,8833.929,326,13,1,27,5796.871979393181,6841.928719619648,4081.871979393182,2760.056740226468,1630.0,297.0,65.0,0,,,,,0.5880230000184383
31,C,13,13,13,7861.238,316,13,1,29,5494.613599048801,5911.237685897418,3709.6135990487996,2201.624086848617,1580.0,305.0,65.0,0,,,,,0.2570611000119243
32,Cplus3F,13,13,13,7185.743,324,13,1,29,5648.59395322571,5180.743433254705,3722.59395322571,1458.1494800289956,1620.0,320.0,65.0,0,4,C,66,53,0.13656040001660585
32,C3FDirect,13,13,13,7185.743,324,13,1,29,5648.59395322571,5180.743433254705,3722.59395322571,1458.1494800289956,1620.0,320.0,65.0,0,4,C,66,53,0.14465750000090338
32,B,13,13,13,7644.621,325,13,1,27,6003.31041973731,5634.620994797559,4128.310419737311,1506.3105750602492,1625.0,320.0,65.0,0,,,,,0.2377658000041265
32,C,13,13,13,7222.321,311,13,1,29,5440.253787109715,5300.32100657971,3673.253787109714,1627.067219469994,1555.0,302.0,65.0,0,,,,,0.344783800013829
33,Cplus3F,14,14,14,7013.054,282,14,1,29,5391.038390928685,5255.053789646598,3704.038390928684,1551.0153987179121,1410.0,278.0,70.0,0,6,C,83,67,0.04718899997533299
33,C3FDirect,14,14,14,7013.054,282,14,1,29,5391.038390928685,5255.053789646598,3704.038390928684,1551.0153987179121,1410.0,278.0,70.0,0,6,C,83,67,0.06406770000467077
33,B,14,14,14,8619.486,355,14,1,27,6076.423188335577,6437.4859149280755,4104.423188335577,2333.0627265924977,1775.0,337.0,70.0,0,,,,,0.5381327999930363
33,C,14,14,14,7618.027,297,14,1,29,5302.5264323263955,5773.027424133307,3629.5264323263946,2143.5009918069127,1485.0,290.0,70.0,0,,,,,0.39133190002758056
