case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
51,L950_C2,15,15,15,11100.238,303,15,1,31,8062.448267190432,9219.23841463163,6395.448267190432,2823.7901474412006,1515.0,291.0,75.0,0,0.42116559998248704
52,L950_C2,10,10,10,10466.043,376,10,1,31,8591.769958899982,8163.042680671668,6397.769958899983,1765.2727217716852,1880.0,373.0,50.0,0,0.1622776000003796
53,L950_C2,10,10,10,11244.743,436,10,1,31,8890.448267190432,8590.743492169937,6395.448267190432,2195.295224979504,2180.0,424.0,50.0,0,0.2913574999838602
54,L950_C2,16,16,16,9280.414,301,105,1,31,4129.94807300353,7168.414103294395,2895.9480730035307,4272.466030290863,1505.0,260.0,347.0,89,0.45273240000824444
55,L950_C2,13,13,13,11437.109,332,13,1,31,8236.448267190432,9393.108795706765,6395.448267190432,2997.6605285163305,1660.0,319.0,65.0,0,0.3752164999896195
56,L950_C2,14,14,14,10677.586,311,14,1,31,8104.448267190432,8754.586443703776,6395.448267190432,2359.13817651334,1555.0,298.0,70.0,0,0.3737262000213377
57,L950_C2,11,11,11,11117.912,400,11,1,31,8702.936807635011,8675.911693105052,6395.93680763501,2279.974885470042,2000.0,387.0,55.0,0,0.2624014999892097
58,L950_C2,16,16,16,5944.297,281,16,1,31,1817.0,4190.296621342844,1140.0,3050.2966213428444,1405.0,269.0,80.0,0,0.5053658000251744
59,L950_C2,16,16,16,7320.593,207,16,1,31,4084.235445958642,6023.59304620622,3055.235445958642,2968.3576002475797,1035.0,182.0,80.0,0,0.572634799988009
60,L950_C2,14,14,14,10887.61,340,14,1,31,8266.448267190432,8796.609564301994,6395.448267190432,2401.1612971115637,1700.0,321.0,70.0,0,0.4630427999945823
61,L950_C2,12,12,12,11317.719,361,12,1,31,8435.259211465986,9108.719413346778,6415.259211465985,2693.4602018807914,1805.0,344.0,60.0,0,0.2280560999934096
62,L950_C2,15,15,15,10791.376,302,15,1,31,8148.237659557701,8918.376412138738,6465.237659557701,2453.138752581038,1510.0,288.0,75.0,0,0.3721083999844268
63,L950_C2,15,15,15,10527.739,265,15,1,31,7890.7089223484145,8871.73889158562,6411.7089223484145,2460.029969237209,1325.0,256.0,75.0,0,0.3352850000082981
64,L950_C2,13,13,13,10379.532,317,13,1,31,8242.448267190432,8413.532381885547,6395.448267190432,2018.0841146951125,1585.0,316.0,65.0,0,0.180446899990784
65,L950_C2,12,12,12,10759.393,368,12,1,31,8440.448267190432,8508.393415691979,6395.448267190432,2112.945148501543,1840.0,351.0,60.0,0,0.32891270000254735
66,L950_C2,11,11,11,10808.844,356,11,1,31,8392.448267190432,8634.84447498599,6395.448267190432,2239.3962077955566,1780.0,339.0,55.0,0,0.28499839999130927
67,L950_C2,10,10,10,10824.193,407,10,1,31,8764.448267190432,8340.192675369804,6395.448267190432,1944.7444081793728,2035.0,399.0,50.0,0,0.15924700000323355
68,L950_C2,11,11,11,10527.622,404,11,1,31,8756.776743346725,8053.621609191476,6400.776743346724,1652.844865844752,2020.0,399.0,55.0,0,0.18684109998866916
69,L950_C2,13,13,13,10925.077,351,13,1,31,8386.448267190432,8766.077041045606,6395.448267190432,2370.628773855178,1755.0,339.0,65.0,0,0.3351601999893319
70,L950_C2,15,15,15,10664.663,301,15,1,31,8076.633778333019,8794.662963713927,6398.633778333019,2396.0291853809103,1505.0,290.0,75.0,0,0.3010109000024386
71,L950_C2,10,10,10,11271.524,393,10,1,31,8590.448267190432,8881.524421954236,6395.448267190432,2486.0761547638076,1965.0,375.0,50.0,0,0.32545120001304895
72,L950_C2,14,14,14,10771.622,313,14,1,31,8171.5706369309,8834.622004370423,6404.5706369309,2430.0513674395247,1565.0,302.0,70.0,0,0.2550666999886744
73,L950_C2,14,14,14,10813.209,311,14,1,31,8088.370293403823,8901.208879236996,6416.370293403823,2484.838585833174,1555.0,287.0,70.0,0,0.4124794999952428
74,L950_C2,11,11,11,10184.537,366,11,1,31,8512.448267190432,7938.537042585549,6395.448267190432,1543.0887753951185,1830.0,361.0,55.0,0,0.20338309998624027
75,L950_C2,13,13,13,10890.21,319,13,1,31,8234.852344648,8920.209782588034,6414.852344647999,2505.357437940033,1595.0,310.0,65.0,0,0.1983057000034023
76,L950_C2,15,15,15,10310.861,241,15,1,31,7719.58904601016,8801.861325234755,6395.58904601016,2406.2722792245945,1205.0,229.0,75.0,0,0.256706199987093
