组号,类型,S_x(m),S_y(m),监测点数,区域状态,直径(m),同直径圆覆盖,检查结果,M1_x(m),M1_y(m),M2_x(m),M2_y(m),M3_x(m),M3_y(m),M4_x(m),M4_y(m),M5_x(m),M5_y(m),M6_x(m),M6_y(m)
MC083,蒙特卡洛,428.08667117061293,-1522.0226553072312,6,polygon,13.14621113770406,True,通过,277.2648794992145,-1492.157932115336,375.22903072195413,-1488.5803937811872,378.1649265012291,-890.4928858511057,724.4274219247682,-719.3253442321043,819.3013531409485,-832.8547406438116,763.6481519846669,-1864.7454731450207
MC084,蒙特卡洛,1614.295069982352,-534.4682620025278,3,polygon,27.485834185613026,True,通过,1462.9922020651825,-468.6623210696849,2087.2403742704796,141.696591225127,2144.7794003797694,29.645549673674395,,,,,,
MC085,蒙特卡洛,-1454.1905860698541,822.3837851994035,4,polygon,25.897086288908508,True,通过,-1374.5649517464292,816.5397773967454,-1852.3892189691765,908.6612164595376,-898.8825604098176,1362.837749069316,-1790.4641480947623,309.4461804722408,,,,
MC086,蒙特卡洛,-528.1842960542068,-708.4137405776228,3,polygon,48.06840623281409,True,通过,-12.587701427135016,-1324.0484302828622,-528.936191694925,-617.2528803561306,-537.4430541248112,169.0675696458121,,,,,,
MC087,蒙特卡洛,1203.3705613828233,360.1825228302175,6,polygon,6.125894781378091,True,通过,899.5090544191437,145.23925853747122,1258.552855875723,-420.77496956421965,1455.8935187518775,-104.21733485604636,1578.3297569406734,-232.53347818653356,923.5707063588737,74.88022894966917,1616.1993196007875,411.59823365958306
MC088,蒙特卡洛,-737.494433463581,434.93999956038436,6,polygon,10.029905565443281,True,通过,-1201.4855730267168,1098.4655218854527,-504.7001346553509,899.3455905852281,-352.77585275752125,346.71860020182123,-808.1479467524334,263.1650576296429,-1034.1478448969792,-114.16227556085863,-545.6478286396422,-303.17973535612276
MC089,蒙特卡洛,-989.4512852857124,42.692629143341584,4,polygon,29.104019914802524,True,通过,-904.1880561129723,-851.4964617471584,-703.8795617614869,-450.63919156911106,-1152.2518618357085,-522.2610979238774,-356.53415784279616,-66.29653511523748,,,,
MC090,蒙特卡洛,1308.8036010950848,-289.6840047561384,3,polygon,51.06316227493545,True,通过,1073.547901473828,327.07835660005526,1072.3632254469212,-1043.9724601213688,1662.075961544418,242.67749704608173,,,,,,
MC091,蒙特卡洛,-405.8091326023181,-985.2666161890307,2,polygon,69.38622755444776,True,通过,-191.9966018472685,-171.05249027907496,-299.5842450641852,-1292.9309010939867,,,,,,,,
MC092,蒙特卡洛,417.3865543153687,-639.6092653428907,3,polygon,24.472763628895475,True,通过,-153.0087252442305,-1247.7097349398023,413.22296482344507,-727.4669207892563,-174.57921648652643,-1145.855067689472,,,,,,
MC093,蒙特卡洛,230.83557371892766,204.4688505681652,2,polygon,66.34423101089924,True,通过,-649.0737081959961,127.96347245635164,404.33185323470525,351.97946785253293,,,,,,,,
MC094,蒙特卡洛,-113.30758900283023,1051.216498213451,4,polygon,25.214135002595874,True,通过,-471.71988182820894,1637.1301030535733,701.8401059721668,885.7831702692891,243.62953063513407,705.7023423806754,-71.40472682582634,1423.8689905544968,,,,
MC095,蒙特卡洛,-434.77349747885575,-1666.9541539793972,4,polygon,19.375384207895834,True,通过,-605.0492060263432,-2200.6674786870362,-408.52589248397294,-1740.4730523583382,397.80435024130185,-1683.9982214340366,66.1270465966623,-2407.388730448957,,,,
MC096,蒙特卡洛,1371.0531662429996,-311.8943038249373,3,polygon,78.1884278346858,True,通过,2199.383986196017,-509.3294220468823,560.9730342178509,-533.1479606466639,1808.4387932698576,-455.37492217454064,,,,,,
MC097,蒙特卡洛,-0.2901442036838295,358.7305771544952,6,polygon,12.557447930494618,True,通过,-224.424907485924,-75.31517300315119,-150.86222386479812,-142.5719961412899,371.83850742017546,441.5095505124524,9.946277559045077,1249.0997671721395,263.0237350002376,1039.7331238526272,-359.969013598357,244.7881142533089
MC098,蒙特卡洛,810.1635561774657,-440.4094658885047,4,polygon,24.780691404555974,False,通过,477.25847579866377,-640.8144567700676,1349.7623712070822,-432.12158738604097,601.9521033287494,187.2612852738535,1528.7936578834046,-415.50819023505795,,,,
MC099,蒙特卡洛,-528.1763332078907,-43.18016516628478,3,polygon,40.828484367768425,True,通过,-281.44110867354345,463.87400923588234,-638.7697900091171,-753.3021154668186,-192.03005145810158,-550.3627724645194,,,,,,
MC100,蒙特卡洛,-930.7777720977432,1420.4783517767778,2,polygon,60.24524745939114,True,通过,-1518.7760200812302,2023.9103604740822,-887.0911330599818,2040.0804822505793,,,,,,,,
EQ_LAST,等边三角形反例,0,0,3,polygon,19.99999999999977,False,通过,-610.0,-5.773502691896257,310.0,-525.3887449625595,300.0,531.1622476544558,,,,,,
