"组号","误差半角(°)","区域状态","直径(m)","包含检查","直径不减检查","检查结果","","","","","","","","","","","","",""
"MC096","0.9","polygon","68.1131975046565","基准","不适用","通过","","","","","","","","","","","","",""
"MC096","1","polygon","78.1884278346858","通过","通过","通过","","","","","","","","","","","","",""
"MC096","1.1","polygon","88.2720514760147","通过","通过","通过","","","","","","","","","","","","",""
"MC097","0.9","polygon","9.103594575647","基准","不适用","通过","","","","","","","","","","","","",""
"MC097","1","polygon","12.5574479304946","通过","通过","通过","","","","","","","","","","","","",""
"MC097","1.1","polygon","16.0513115848383","通过","通过","通过","","","","","","","","","","","","",""
"MC098","0.9","polygon","22.3012492895592","基准","不适用","通过","","","","","","","","","","","","",""
"MC098","1","polygon","24.780691404556","通过","通过","通过","","","","","","","","","","","","",""
"MC098","1.1","polygon","27.2606155822621","通过","通过","通过","","","","","","","","","","","","",""
"MC099","0.9","polygon","36.7470538882929","基准","不适用","通过","","","","","","","","","","","","",""
"MC099","1","polygon","40.8284843677684","通过","通过","通过","","","","","","","","","","","","",""
"MC099","1.1","polygon","44.9094173650468","通过","通过","通过","","","","","","","","","","","","",""
"MC100","0.9","polygon","54.204878742372","基准","不适用","通过","","","","","","","","","","","","",""
"MC100","1","polygon","60.2452474593911","通过","通过","通过","","","","","","","","","","","","",""
"MC100","1.1","polygon","66.2911895403643","通过","通过","通过","","","","","","","","","","","","",""
