case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
29,L1100_C2,16,16,16,8068.382,383,16,1,19,0.630935799999861
30,L1100_C2,16,16,16,7691.359,295,16,1,19,0.4368909999902826
31,L1100_C2,16,16,16,9347.483,453,16,1,19,0.43358499999158084
32,L1100_C2,16,16,16,9530.057,408,16,1,19,0.5498138999973889
33,L1100_C2,16,16,16,7384.623,233,16,1,19,0.39552039999398403
34,L1100_C2,16,16,16,6958.075,326,16,1,19,0.4894139000098221
35,L1100_C2,16,16,16,7244.396,231,16,1,19,0.48224470001878217
36,L1100_C2,16,16,16,8588.614,264,16,1,19,0.5251556999864988
37,L1100_C2,16,16,16,9359.01,287,16,1,19,0.5111329999926966
38,L1100_C2,16,16,16,8372.698,259,16,1,19,0.3640990999992937
39,L1100_C2,16,16,16,8418.816,264,16,1,19,0.4646336000005249
40,L1100_C2,16,16,16,7500.527,241,16,1,19,0.3001508000015747
41,L1100_C2,16,16,16,8760.264,320,16,1,19,0.260164800012717
42,L1100_C2,16,16,16,9234.046,373,16,1,19,0.5462132999964524
43,L1100_C2,16,16,16,8933.935,368,16,1,19,0.6299831999931484
44,L1100_C2,16,16,16,8184.425,266,16,1,19,0.3815556000045035
45,L1100_C2,16,16,16,7591.874,313,16,1,19,0.456315799994627
46,L1100_C2,16,16,16,8044.386,282,16,1,19,0.3891392000077758
47,L1100_C2,16,16,16,8127.532,260,16,1,19,0.5622421000152826
48,L1100_C2,16,16,16,6262.068,286,16,1,19,0.43609509998350404
49,L1100_C2,16,16,16,7478.63,274,16,1,19,0.4657606999971904
50,L1100_C2,16,16,16,5228.276,201,16,1,19,0.3850772999867331
51,L1100_C2,16,16,16,8243.823,340,16,1,19,0.5579346000158694
52,L1100_C2,16,16,16,8595.393,313,16,1,19,0.3670420999987982
53,L1100_C2,16,16,16,8166.693,290,16,1,19,0.40992459998233244
54,L1100_C2,16,16,16,7137.1,280,16,1,19,0.4548106000002008
55,L1100_C2,16,16,16,9064.525,377,16,1,19,0.5886656000220682
56,L1100_C2,16,15,15,8642.193,372,15,0,19,0.37894630001392215
57,L1100_C2,16,16,16,8478.702,317,16,1,19,0.22321609998471104
58,L1100_C2,16,16,16,7841.12,273,16,1,19,0.29225540001061745
59,L1100_C2,16,16,16,6560.776,267,16,1,19,0.4425387000082992
60,L1100_C2,16,16,16,8199.293,250,16,1,19,0.4242270999820903
61,L1100_C2,16,16,16,7835.316,271,16,1,19,0.49104319998878054
62,L1100_C2,16,16,16,8532.574,303,16,1,19,0.40382780000800267
63,L1100_C2,16,16,16,9405.7,356,16,1,19,0.6063282999966759
64,L1100_C2,16,16,16,8162.591,261,16,1,19,0.38715339999180287
