label,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,origin_discoveries,selected_route,pruned_observations,audited_pruned,pruned_truth_hits,min_pruned_dist,max_kept_dist,movement,search_movement,post_movement,detection,switching,clearing
A_normal_n10,18,CF,10,10,10,7594.98,385,10,1,3,C,64,0,0,,,5240.9799170395545,3652.9318015077424,1588.0481155318148,1925.0,379.0,50.0
A_normal_n10,18,D,10,10,10,7594.98,385,10,1,3,C,64,64,0,1506.3489002060196,1475.029308065868,5240.9799170395545,3652.9318015077424,1588.0481155318148,1925.0,379.0,50.0
A_normal_n10,18,C3F,10,10,10,7594.98,385,10,1,3,C,64,0,0,,,5240.9799170395545,3652.9318015077424,1588.0481155318148,1925.0,379.0,50.0
A_normal_n10,19,B,10,10,10,7896.662,357,10,1,7,B,0,0,0,,,5712.6623323691065,4081.871979393182,1630.7903529759249,1785.0,349.0,50.0
A_normal_n10,19,C,10,10,10,7169.721,393,10,1,7,C,0,0,0,,,4762.720753259518,3636.029035295319,1126.6917179641982,1965.0,392.0,50.0
A_normal_n10,19,BF,10,10,10,7818.662,344,10,1,7,B,13,0,0,,,5712.6623323691065,4081.871979393182,1630.7903529759249,1720.0,336.0,50.0
A_normal_n10,19,CF,10,10,10,6935.721,354,10,1,7,C,39,0,0,,,4762.720753259518,3636.029035295319,1126.6917179641982,1770.0,353.0,50.0
A_normal_n10,19,D,10,10,10,6935.721,354,10,1,7,C,39,39,0,1511.4292887905958,1492.1380424701024,4762.720753259518,3636.029035295319,1126.6917179641982,1770.0,353.0,50.0
A_normal_n10,19,C3F,10,10,10,6935.721,354,10,1,7,C,39,0,0,,,4762.720753259518,3636.029035295319,1126.6917179641982,1770.0,353.0,50.0
A_normal_n10,20,B,10,10,10,7649.959,345,10,1,4,B,0,0,0,,,5531.959085978143,4081.871979393182,1450.0871065849608,1725.0,343.0,50.0
A_normal_n10,20,C,10,10,10,7827.158,449,10,1,4,C,0,0,0,,,5087.157843642352,3637.4807748506255,1449.6770687917272,2245.0,445.0,50.0
A_normal_n10,20,BF,10,10,10,7601.959,337,10,1,4,B,8,0,0,,,5531.959085978143,4081.871979393182,1450.0871065849608,1685.0,335.0,50.0
A_normal_n10,20,CF,10,10,10,7440.158,385,10,1,4,C,64,0,0,,,5087.157843642352,3637.4807748506255,1449.6770687917272,1925.0,378.0,50.0
A_normal_n10,20,D,10,10,10,7440.158,385,10,1,4,C,64,64,0,1503.686007465224,1454.6588020165218,5087.157843642352,3637.4807748506255,1449.6770687917272,1925.0,378.0,50.0
A_normal_n10,20,C3F,10,10,10,7440.158,385,10,1,4,C,64,0,0,,,5087.157843642352,3637.4807748506255,1449.6770687917272,1925.0,378.0,50.0
A_normal_n10,21,B,10,10,10,8706.911,408,10,1,2,B,0,0,0,,,6217.911256108264,4081.871979393182,2136.0392767150815,2040.0,399.0,50.0
A_normal_n10,21,C,10,10,10,7815.809,412,10,1,2,C,0,0,0,,,5295.809398277661,3693.016946162117,1602.7924521155433,2060.0,410.0,50.0
A_normal_n10,21,BF,10,10,10,8688.911,405,10,1,2,B,3,0,0,,,6217.911256108264,4081.871979393182,2136.0392767150815,2025.0,396.0,50.0
A_normal_n10,21,CF,10,10,10,7581.809,373,10,1,2,C,39,0,0,,,5295.809398277661,3693.016946162117,1602.7924521155433,1865.0,371.0,50.0
A_normal_n10,21,D,10,10,10,7581.809,373,10,1,2,C,39,39,0,1540.5934724226313,1486.5147773857939,5295.809398277661,3693.016946162117,1602.7924521155433,1865.0,371.0,50.0
A_normal_n10,21,C3F,10,10,10,7581.809,373,10,1,2,C,39,0,0,,,5295.809398277661,3693.016946162117,1602.7924521155433,1865.0,371.0,50.0
A_normal_n10,22,B,10,10,10,8139.079,372,10,1,2,B,0,0,0,,,5863.079428539718,4081.871979393182,1781.2074491465385,1860.0,366.0,50.0
A_normal_n10,22,C,10,10,10,7953.273,447,10,1,2,C,0,0,0,,,5226.272919744234,3679.5168450154642,1546.7560747287687,2235.0,442.0,50.0
A_normal_n10,22,BF,10,10,10,8121.079,369,10,1,2,B,3,0,0,,,5863.079428539718,4081.871979393182,1781.2074491465385,1845.0,363.0,50.0
A_normal_n10,22,CF,10,10,10,7579.273,385,10,1,2,C,62,0,0,,,5226.272919744234,3679.5168450154642,1546.7560747287687,1925.0,378.0,50.0
A_normal_n10,22,D,10,10,10,7579.273,385,10,1,2,C,62,62,0,1506.3489002060212,1498.9692892300031,5226.272919744234,3679.5168450154642,1546.7560747287687,1925.0,378.0,50.0
A_normal_n10,22,C3F,10,10,10,7579.273,385,10,1,2,C,62,0,0,,,5226.272919744234,3679.5168450154642,1546.7560747287687,1925.0,378.0,50.0
A_normal_n10,23,B,10,10,10,8543.309,424,10,1,2,B,0,0,0,,,5955.30875597645,4128.060673962401,1827.2480820140474,2120.0,418.0,50.0
A_normal_n10,23,C,10,10,10,7566.459,424,10,1,2,C,0,0,0,,,4983.459427453299,3741.6496722842176,1241.8097551690846,2120.0,413.0,50.0
A_normal_n10,23,BF,10,10,10,8543.309,424,10,1,2,B,0,0,0,,,5955.30875597645,4128.060673962401,1827.2480820140474,2120.0,418.0,50.0
A_normal_n10,23,CF,10,10,10,7326.459,384,10,1,2,C,40,0,0,,,4983.459427453299,3741.6496722842176,1241.8097551690846,1920.0,373.0,50.0
A_normal_n10,23,D,10,10,10,7326.459,384,10,1,2,C,40,40,0,1522.4309463427967,1489.0612476580807,4983.459427453299,3741.6496722842176,1241.8097551690846,1920.0,373.0,50.0
A_normal_n10,23,C3F,10,10,10,7326.459,384,10,1,2,C,40,0,0,,,4983.459427453299,3741.6496722842176,1241.8097551690846,1920.0,373.0,50.0
A_normal_n10,24,B,10,10,10,8893.098,411,10,1,1,B,0,0,0,,,6393.09766213852,4082.165577156574,2310.9320849819483,2055.0,395.0,50.0
A_normal_n10,24,C,10,10,10,8035.223,438,10,1,1,C,0,0,0,,,5366.222924415086,3698.627513405977,1667.5954110091075,2190.0,429.0,50.0
A_normal_n10,24,BF,10,10,10,8893.098,411,10,1,1,B,0,0,0,,,6393.09766213852,4082.165577156574,2310.9320849819483,2055.0,395.0,50.0
A_normal_n10,24,CF,10,10,10,7812.223,400,10,1,1,C,38,0,0,,,5366.222924415086,3698.627513405977,1667.5954110091075,2000.0,396.0,50.0
A_normal_n10,24,D,10,10,10,7812.223,400,10,1,1,C,38,38,0,1638.7112565222683,1486.5147773857902,5366.222924415086,3698.627513405977,1667.5954110091075,2000.0,396.0,50.0
A_normal_n10,24,C3F,10,10,10,7812.223,400,10,1,1,C,38,0,0,,,5366.222924415086,3698.627513405977,1667.5954110091075,2000.0,396.0,50.0
