case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
7,DG2_k3_t1_R,16,16,16,9960.04,508,16,1,29,6153.059860962144,6850.039966555024,3632.0598609621425,3217.9801055928806,2540.0,490.0,80.0,0,0,C,246,114,C,4,,,0.3736404999799561
7,C3FDirect,16,16,16,9960.04,508,16,1,29,6153.059860962144,6850.039966555024,3632.0598609621425,3217.9801055928806,2540.0,490.0,80.0,0,0,C,246,114,,,,,0.32875150002655573
8,Cplus3F,16,16,16,8577.061,379,16,1,27,5739.611810858811,6258.061332073619,3782.611810858811,2475.4495212148113,1895.0,344.0,80.0,0,0,B,0,0,,,,,0.39023229997837916
8,DG_k1_t0,16,16,16,9305.241,508,16,1,29,6031.320932970989,6185.241222412624,3644.320932970987,2540.9202894416376,2540.0,500.0,80.0,0,0,C,239,142,C,1,,,0.40073799999663606
8,DG2_k3_t1_R,16,16,16,9305.241,508,16,1,29,6031.320932970989,6185.241222412624,3644.320932970987,2540.9202894416376,2540.0,500.0,80.0,0,0,C,239,142,C,3,,,0.40964399999938905
8,C3FDirect,16,16,16,9305.241,508,16,1,29,6031.320932970989,6185.241222412624,3644.320932970987,2540.9202894416376,2540.0,500.0,80.0,0,0,C,239,142,,,,,0.40120870000100695
9,Cplus3F,16,16,16,8884.616,379,16,1,27,5527.311984801213,6542.615709644212,3468.311984801213,3074.3037248429982,1895.0,367.0,80.0,0,0,B,0,0,,,,,0.3346138999913819
9,DG_k1_t0,16,16,16,9689.724,496,16,1,29,5825.79291689183,6649.724282585371,3578.79291689183,3070.9313656935446,2480.0,480.0,80.0,0,0,C,200,162,C,1,,,0.4177334999840241
9,DG2_k3_t1_R,16,16,16,9689.724,496,16,1,29,5825.79291689183,6649.724282585371,3578.79291689183,3070.9313656935446,2480.0,480.0,80.0,0,0,C,200,162,C,5,,,0.37351450001006015
9,C3FDirect,16,16,16,9689.724,496,16,1,29,5825.79291689183,6649.724282585371,3578.79291689183,3070.9313656935446,2480.0,480.0,80.0,0,0,C,200,162,,,,,0.4089827999996487
10,Cplus3F,16,16,16,9632.882,499,16,1,27,6562.2500092698065,6563.881963866372,3988.250009269808,2575.6319545965657,2495.0,494.0,80.0,0,0,B,0,0,,,,,0.32676939998054877
10,DG_k1_t0,16,16,16,8201.859,413,16,1,29,5478.7706706182125,5662.858613249581,3537.7706706182116,2125.0879426313722,2065.0,394.0,80.0,0,0,C,165,136,C,2,,,0.38434039999265224
10,DG2_k3_t1_R,16,16,16,8201.859,413,16,1,29,5478.7706706182125,5662.858613249581,3537.7706706182116,2125.0879426313722,2065.0,394.0,80.0,0,0,C,165,136,C,4,,,0.31305779999820516
10,C3FDirect,16,16,16,8201.859,413,16,1,29,5478.7706706182125,5662.858613249581,3537.7706706182116,2125.0879426313722,2065.0,394.0,80.0,0,0,C,165,136,,,,,0.28895839999313466
11,Cplus3F,16,16,16,8410.785,353,16,1,27,5993.069311630285,6231.785154730584,4012.069311630286,2219.715843100298,1765.0,334.0,80.0,0,0,B,0,0,,,,,0.22786730001098476
11,DG_k1_t0,16,16,16,8672.78,373,16,1,27,6255.064495610723,6373.780338711022,4154.0644956107235,2219.715843100298,1865.0,354.0,80.0,0,0,B,0,0,B,0,,,0.18079630000283942
11,DG2_k3_t1_R,16,16,16,9172.443,451,16,1,29,5928.148126753893,6397.443227891067,3685.1481267538943,2712.2951011371747,2255.0,440.0,80.0,0,0,C,215,101,C,5,,,0.3172513000026811
11,C3FDirect,16,16,16,9172.443,451,16,1,29,5928.148126753893,6397.443227891067,3685.1481267538943,2712.2951011371747,2255.0,440.0,80.0,0,0,C,215,101,,,,,0.24694020001334138
12,Cplus3F,16,16,16,9973.797,500,16,1,27,5995.451133772685,6899.796623707109,3771.451133772687,3128.3454899344215,2500.0,494.0,80.0,0,0,B,0,0,,,,,0.5633845999836922
12,DG_k1_t0,16,16,16,7495.524,355,16,1,29,5068.6417480517875,5299.524476733962,3159.641748051787,2139.882728682175,1775.0,341.0,80.0,0,0,C,225,104,C,1,,,0.3337701999989804
12,DG2_k3_t1_R,16,16,16,7495.524,355,16,1,29,5068.6417480517875,5299.524476733962,3159.641748051787,2139.882728682175,1775.0,341.0,80.0,0,0,C,225,104,C,6,,,0.30918300000485033
12,C3FDirect,16,16,16,7495.524,355,16,1,29,5068.6417480517875,5299.524476733962,3159.641748051787,2139.882728682175,1775.0,341.0,80.0,0,0,C,225,104,,,,,0.2648061000218149
13,Cplus3F,16,16,16,12605.291,698,16,1,27,6812.952874976338,8355.291034501995,4106.952874976338,4248.338159525656,3490.0,680.0,80.0,0,0,B,0,0,,,,,0.7832183999998961
13,DG_k1_t0,16,16,16,12867.286,718,16,1,27,7074.948058956776,8497.286218482433,4248.948058956776,4248.338159525656,3590.0,700.0,80.0,0,0,B,0,0,B,0,,,0.6650020999950357
13,DG2_k3_t1_R,16,16,16,12543.882,730,16,1,27,6890.751355950027,8101.881921605598,4076.751355950026,4025.1305656555714,3650.0,712.0,80.0,0,0,B,0,1,B,1,235.5167982314916,20015.301068666482,0.7684608999988995
13,C3FDirect,16,16,16,9935.452,526,16,1,29,6105.729512465273,6721.451736079268,3638.7295124652705,3082.722223614001,2630.0,504.0,80.0,0,0,C,327,121,,,,,0.7912566000013612
14,Cplus3F,16,16,16,8778.954,454,16,1,27,5850.478989848157,5980.954099313109,3619.4789898481567,2361.4751094649505,2270.0,448.0,80.0,0,0,B,0,0,,,,,0.685146599978907
14,DG_k1_t0,16,16,16,9040.949,474,16,1,27,6112.474173828596,6122.949283293545,3761.4741738285948,2361.4751094649505,2370.0,468.0,80.0,0,0,B,0,0,B,0,,,0.5585854999953881
14,DG2_k3_t1_R,16,16,16,7977.022,353,16,1,29,5278.50051395225,5795.02223767109,3388.50051395225,2406.52172371884,1765.0,337.0,80.0,0,0,C,188,81,C,3,,,0.4201381000166293
14,C3FDirect,16,16,16,7977.022,353,16,1,29,5278.50051395225,5795.02223767109,3388.50051395225,2406.52172371884,1765.0,337.0,80.0,0,0,C,188,81,,,,,0.4947517999971751
15,Cplus3F,16,16,16,11832.378,683,16,1,27,6268.332501928427,7680.3777377954475,3851.332501928428,3829.0452358670227,3415.0,657.0,80.0,0,0,B,0,0,,,,,0.6660535999981221
15,DG_k1_t0,16,16,16,12094.373,703,16,1,27,6530.3276859088655,7822.3729217758855,3993.327685908866,3829.0452358670227,3515.0,677.0,80.0,0,0,B,0,0,B,0,,,0.6955224999983329
15,DG2_k3_t1_R,16,16,16,10587.401,582,16,1,29,6213.110814733346,7036.401201433333,3669.1108147333453,3367.2903866999877,2910.0,561.0,80.0,0,0,C,255,161,C,2,,,0.34944390002056025
15,C3FDirect,16,16,16,10587.401,582,16,1,29,6213.110814733346,7036.401201433333,3669.1108147333453,3367.2903866999877,2910.0,561.0,80.0,0,0,C,255,161,,,,,0.34903810001560487
16,Cplus3F,16,16,16,9038.96,419,16,1,27,5927.105808682444,6458.960355164299,3777.105808682446,2681.8545464818553,2095.0,405.0,80.0,0,0,B,0,0,,,,,0.5540696000098251
16,DG_k1_t0,16,16,16,9102.898,468,16,1,29,6136.278887684183,6235.897521176396,3639.2788876841814,2596.618633492218,2340.0,447.0,80.0,0,0,C,158,98,C,2,,,0.24756849999539554
16,DG2_k3_t1_R,16,16,16,9102.898,468,16,1,29,6136.278887684183,6235.897521176396,3639.2788876841814,2596.618633492218,2340.0,447.0,80.0,0,0,C,158,98,C,4,,,0.23321169998962432
16,C3FDirect,16,16,16,9102.898,468,16,1,29,6136.278887684183,6235.897521176396,3639.2788876841814,2596.618633492218,2340.0,447.0,80.0,0,0,C,158,98,,,,,0.28057770000305027
17,Cplus3F,16,16,16,8944.503,477,16,1,27,5764.121165479312,6007.502702915529,3597.121165479314,2410.3815374362152,2385.0,472.0,80.0,0,0,B,0,0,,,,,0.49822979999589734
17,DG_k1_t0,16,16,16,9206.498,497,16,1,27,6026.116349459751,6149.497886895967,3739.1163494597517,2410.3815374362152,2485.0,492.0,80.0,0,0,B,0,0,B,0,,,0.4045027999964077
17,DG2_k3_t1_R,16,16,16,9227.626,448,16,1,29,5430.365659357862,6483.626199928861,3239.3656593578607,3244.260540571003,2240.0,424.0,80.0,0,0,C,223,100,C,2,,,0.30436020001070574
17,C3FDirect,16,16,16,9227.626,448,16,1,29,5430.365659357862,6483.626199928861,3239.3656593578607,3244.260540571003,2240.0,424.0,80.0,0,0,C,223,100,,,,,0.30866349997813813
18,Cplus3F,16,16,16,9427.837,484,16,1,27,6199.947889025603,6450.836859244004,3792.947889025605,2657.8889702184,2420.0,477.0,80.0,0,0,B,0,0,,,,,0.45383379998384044
18,DG_k1_t0,16,16,16,9689.832,504,16,1,27,6461.943073006041,6592.83204322444,3934.9430730060426,2657.8889702184,2520.0,497.0,80.0,0,0,B,0,0,B,0,,,0.4326549999823328
18,DG2_k3_t1_R,16,16,16,9270.867,450,16,1,29,5288.303706984623,6514.866989373873,3287.303706984623,3227.563282389254,2250.0,426.0,80.0,0,0,C,224,121,C,2,,,1.3166024000092875
