case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
71,L1000_C2,10,10,10,11780.297,385,10,1,31,9288.560423726694,9427.29702329447,1925.0,378.0,50.0,0,0.24245520000113174
72,L1100_C2,14,14,14,7821.388,234,14,1,19,5272.111434810251,6360.388306159362,1170.0,221.0,70.0,0,0.34109579998767003
72,L1000_C2,14,14,14,11263.376,303,14,1,31,8867.60076020373,9383.376236260672,1515.0,295.0,70.0,0,0.31124070001533255
73,L1100_C2,14,14,14,7848.985,262,14,1,19,5296.71924875255,6230.985462632895,1310.0,238.0,70.0,0,0.5861869000073057
73,L1000_C2,14,14,14,12034.872,369,14,1,31,8949.358759118895,9778.8718292436,1845.0,341.0,70.0,0,0.39551689999643713
74,L1100_C2,11,11,11,7311.56,256,11,1,19,5429.0,5722.560485283473,1280.0,254.0,55.0,0,0.18025910001597367
74,L1000_C2,11,11,11,11224.608,381,11,1,31,9240.560423726694,8894.608240933012,1905.0,370.0,55.0,0,0.37727880000602454
75,L1100_C2,13,13,13,7793.632,239,13,1,19,5321.0,6296.631807509419,1195.0,237.0,65.0,0,0.2634828000154812
75,L1000_C2,13,13,13,11679.328,333,13,1,31,9034.451142546566,9622.327758908594,1665.0,327.0,65.0,0,0.16474969999399036
76,L1100_C2,15,15,15,7449.478,213,15,1,19,5102.16336268706,6102.47817761195,1065.0,207.0,75.0,0,0.3608851000026334
76,L1000_C2,15,15,15,10796.393,254,15,1,31,8501.864593050854,9204.3933273807,1270.0,247.0,75.0,0,0.3460060000070371
77,L1100_C2,14,14,14,8014.687,277,14,1,19,5381.0,6297.686842466163,1385.0,262.0,70.0,0,0.43895479998900555
77,L1000_C2,14,14,14,11516.023,345,14,1,31,9011.49281314397,9393.023208355802,1725.0,328.0,70.0,0,0.27693710001767613
78,L1100_C2,14,14,14,7866.606,241,14,1,19,5213.0,6372.605981892714,1205.0,219.0,70.0,0,0.5904362000001129
78,L1000_C2,14,14,14,11088.111,311,14,1,31,8844.560423726694,9157.11078048085,1555.0,306.0,70.0,0,0.3727393999870401
79,L1100_C2,15,15,15,7887.324,277,15,1,19,5392.350067050118,6161.324474222688,1385.0,266.0,75.0,0,0.43673270000726916
